timestamp,day_of_week,hour,vehicle_count,traffic_volume,weather_condition,temperature,humidity,precipitation,accident_count,location_latitude,location_longitude,road_type,congestion_level
2023-02-20 08:00:00,2,8,1200,800,Partly Cloudy,12,60,0,1,37.7749,-122.4194,Highway,Low
2023-02-20 09:00:00,2,9,1500,1000,Overcast,10,70,0,2,34.0522,-118.2437,Residential Street,Moderate
2023-02-20 10:00:00,2,10,1800,1200,Clear,15,50,0,0,41.8781,-87.6298,Main Road,High
2023-02-20 11:00:00,2,11,2000,1400,Rain,12,80,10,3,-33.9172,-118.4421,Rural Road,Severe
2023-02-20 12:00:00,2,12,2200,1600,Fog,10,90,0,4,51.5074,-0.1278,Alley,Severe
2023-02-20 13:00:00,2,13,2400,1800,Thunderstorm,12,60,20,5,-12.0464,-77.0293,Highway,Severe
2023-02-20 14:00:00,2,14,2600,2000,Heavy Rain,10,80,30,6,48.8566,2.3522,Residential Street,Severe
2023-02-20 15:00:00,2,15,2800,2200,Drizzle,12,50,10,7,-6.2673,-35.2147,Main Road,Severe
2023-02-20 16:00:00,2,16,3000,2400,Clear,15,40,0,8,40.7128,-74.006,Rural Road,High
2023-02-20 17:00:00,2,17,3200,2600,Partly Cloudy,12,60,0,9,-23.5505,-46.6333,Alley,Moderate
2023-02-20 18:00:00,2,18,3400,2800,Overcast,10,70,0,10,35.6895,-105.9399,Highway,Moderate
2023-02-20 19:00:00,2,19,3600,3000,Clear,15,50,0,11,-19.4232,-99.1332,Residential Street,High
2023-02-20 20:00:00,2,20,3800,3200,Rain,12,80,10,12,-7.0454,-11.9131,Main Road,Severe
2023-02-20 21:00:00,2,21,4000,3400,Fog,10,90,0,13,-4.6973,-74.0787,Rural Road,Severe
2023-02-20 22:00:00,2,22,4200,3600,Thunderstorm,12,60,20,14,-22.9067,-43.1728,Alley,Severe
2023-02-20 23:00:00,2,23,4400,3800,Heavy Rain,10,80,30,15,-8.0403,-34.8872,Highway,Severe
2023-02-22 00:00:00,3,0,4600,4000,Clear,15,40,0,8,-26.4898,-48.5499,Residential Street,High
2023-02-22 01:00:00,3,1,4800,4200,Partly Cloudy,12,60,0,9,-0.0944,-78.5171,Main Road,Moderate
2023-02-22 02:00:00,3,2,5000,4400,Overcast,10,70,0,10,-15.7782,-35.2044,Rural Road,Moderate
2023-02-22 03:00:00,3,3,5200,4600,Clear,15,50,0,11,-32.7157,-106.7331,Highway,High
2023-02-22 04:00:00,3,4,5400,4800,Rain,12,80,10,12,-18.1231,-47.3517,Alley,Severe
2023-02-22 05:00:00,3,5,5600,5000,Fog,10,90,0,13,-21.1798,-81.4349,Residential Street,Severe
2023-02-22 06:00:00,3,6,5800,5200,Thunderstorm,12,60,20,14,-34.5833,-118.4234,Main Road,Severe
2023-02-22 07:00:00,3,7,6000,5400,Heavy Rain,10,80,30,15,-28.3251,-83.5555,Rural Road,Severe
2023-02-22 08:00:00,3,8,6200,5600,Clear,15,40,0,8,-25.7332,-66.9101,Highway,High
2023-02-22 09:00:00,3,9,6400,5800,Partly Cloudy,12,60,0,9,-12.4567,-46.6782,Alley,Moderate
2023-02-22 10:00:00,3,10,6600,6000,Overcast,10,70,0,10,-19.4232,-99.1332,Residential Street,Moderate
2023-02-22 11:00:00,3,11,6800,6200,Clear,15,50,0,11,-15.7782,-35.2044,Main Road,High
2023-02-22 12:00:00,3,12,7000,6400,Rain,12,80,10,12,-22.9067,-43.1728,Rural Road,Severe
2023-02-22 13:00:00,3,13,7200,6600,Fog,10,90,0,13,-21.1798,-81.4349,Alley,Severe
2023-02-22 14:00:00,3,14,7400,6800,Thunderstorm,12,60,20,14,-18.1231,-47.3517,Residential Street,Severe
2023-02-22 15:00:00,3,15,7600,7000,Heavy Rain,10,80,30,15,-26.4898,-48.5499,Main Road,Severe
2023-02-22 16:00:00,3,16,7800,7200,Clear,15,40,0,8,-28.3251,-83.5555,Rural Road,High
2023-02-22 17:00:00,3,17,8000,7400,Partly Cloudy,12,60,0,9,-25.7332,-66.9101,Highway,Moderate
2023-02-22 18:00:00,3,18,8200,7600,Overcast,10,70,0,10,-12.4567,-46.6782,Alley,Moderate
2023-02-22 19:00:00,3,19,8400,7800,Clear,15,50,0,11,-19.4232,-99.1332,Residential Street,High
2023-02-22 20:00:00,3,20,8600,8000,Rain,12,80,10,12,-22.9067,-43.1728,Rural Road,Severe
2023-03-01 00:00:00,2,0,2000,1800,Clear,5,30,0,0,-10.4567,-60.6782,Highway,Low
2023-03-01 01:00:00,2,1,2100,1900,Partly Cloudy,8,50,0,1,-15.1231,-50.3517,Residential Street,Low
2023-03-01 02:00:00,2,2,2200,2000,Overcast,10,70,0,2,-18.4567,-55.6782,Alley,Low
2023-03-01 03:00:00,2,3,2300,2100,Rain,12,80,5,3,-20.1231,-58.3517,Rural Road,Moderate
2023-03-01 04:00:00,2,4,2400,2200,Fog,10,90,0,4,-22.4567,-61.6782,Highway,Moderate
2023-03-01 05:00:00,2,5,2500,2300,Thunderstorm,8,60,10,5,-24.1231,-62.3517,Residential Street,High
2023-03-01 06:00:00,2,6,2600,2400,Heavy Rain,10,70,15,6,-26.4567,-63.6782,Alley,Severe
2023-03-01 07:00:00,2,7,2700,2500,Clear,12,40,0,7,-28.1231,-64.3517,Rural Road,High
2023-03-01 08:00:00,2,8,2800,2600,Partly Cloudy,10,50,0,8,-30.4567,-65.6782,Highway,Moderate
2023-03-01 09:00:00,2,9,2900,2700,Overcast,12,70,0,9,-32.1231,-66.3517,Residential Street,Moderate
2023-03-01 10:00:00,2,10,3000,2800,Rain,10,80,5,10,-34.4567,-67.6782,Alley,Severe
2023-03-01 11:00:00,2,11,3100,2900,Fog,8,90,0,11,-36.1231,-68.3517,Rural Road,Severe
2023-03-01 12:00:00,2,12,3200,3000,Thunderstorm,12,60,10,12,-38.4567,-69.6782,Highway,Severe
2023-03-01 13:00:00,2,13,3300,3100,Heavy Rain,10,70,15,13,-40.1231,-70.3517,Residential Street,Severe
2023-03-01 14:00:00,2,14,3400,3200,Clear,12,40,0,14,-42.4567,-71.6782,Alley,High
2023-03-01 15:00:00,2,15,3500,3300,Partly Cloudy,10,50,0,15,-44.1231,-72.3517,Rural Road,High
2023-03-01 16:00:00,2,16,3600,3400,Overcast,12,70,0,16,-46.4567,-73.6782,Highway,High
2023-03-01 17:00:00,2,17,3700,3500,Rain,10,80,5,17,-48.1231,-74.3517,Residential Street,Severe
2023-03-01 18:00:00,2,18,3800,3600,Fog,8,90,0,18,-50.4567,-75.6782,Alley,Severe
